Latitude,Longtitude
41.120390933,27.542490483
41.120395283,27.542491417
41.1203974,27.542491417
41.1203992,27.542491867
41.120393517,27.542490233
41.120392583,27.5424858
41.120396317,27.542486317
41.120398067,27.542484983
41.1203999,27.542486917
41.120400567,27.542489183
41.120400783,27.5424903
41.120399517,27.542489267
41.120400067,27.542489517
41.120399683,27.542489267
41.120399217,27.5424889
41.120399233,27.542488533
41.120399117,27.542488483
41.120401417,27.5424983
41.120432417,27.542472917
41.1204324,27.542472933
41.120432417,27.542473
41.120432433,27.542473117
41.663681033,26.569903367
41.663690217,26.569942417
41.663695817,26.569939817
41.663695733,26.569939583
41.663695483,26.569939183
41.663696817,26.569936483
41.663696817,26.56993655
41.663696833,26.569936467
41.663697217,26.569936217
41.663697367,26.569936117
41.663697467,26.569936383
41.663687883,26.569957633
41.663687967,26.5699582
41.663675317,26.56989805
41.663675533,26.569899083
41.663670683,26.569872483
41.663670833,26.569872583
41.66367095,26.569872933
41.663854167,26.570193533
41.66385395,26.570193283
41.663844483,26.5701751
41.663844267,26.57017505
41.6638454,26.57017205
41.663845367,26.570172283
41.663850767,26.570187783
41.663850683,26.570188033
41.663842917,26.57021195
41.663842733,26.570212317
41.663842083,26.570213333
41.66384365,26.57020875
